imgUrl,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/cn-11134207-820l4-mhk7xglvruv88f,美术用品,画布和画架,巴西,6,67.39,-0.11,-0.12
https://cf.shopee.com.br/file/cn-11134207-820l4-mg3biip4ta1bac,美术用品,画布和画架,巴西,4.63,63.6,-0.37,-0.25
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,美术用品,画布和画架,巴西,4.25,48.98,-0.37,-0.42
https://cf.shopee.com.br/file/sg-11134201-8261f-mmfxy00nqqkk7d,美术用品,画布和画架,巴西,3,39.27,0.32,0.52
https://cf.shopee.com.br/file/cn-11134207-820l4-mn56ldl9nmrl81,美术用品,画布和画架,巴西,2.25,37.33,0.16,0.36
https://cf.shopee.com.br/file/cn-11134207-820l4-megtoxm5aux108,美术用品,画布和画架,巴西,1.75,8.39,1.69,1.25
https://cf.shopee.com.br/file/cn-11134207-820l4-me6ozi5q6f46b0,美术用品,画布和画架,巴西,1.25,6.31,0.14,0.08
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgqo0086e,美术用品,画布和画架,巴西,1,12.12,0,0.02
https://cf.shopee.com.br/file/cn-11134207-820l4-mhbuefjgfwuia5,美术用品,画布和画架,巴西,1,10.73,0.82,0.6
https://cf.shopee.com.br/file/cn-11134207-820l4-mnntbmko9tz660,美术用品,画布和画架,巴西,1,11.64,12.85,15.52
https://cf.shopee.com.br/file/cn-11134207-820l4-mlbvhf8mnpqc1d,美术用品,画布和画架,巴西,0.5,7.9,0.25,0.98
https://cf.shopee.com.br/file/c4a1de15a6d4814a02123f981e918ffb,美术用品,画布和画架,巴西,0.5,18.18,-0.1,1.13
https://cf.shopee.com.br/file/cn-11134207-7r98o-lsuxt5uduz8d59,美术用品,画布和画架,巴西,0.5,9.19,-0.24,0.42
https://cf.shopee.com.br/file/cn-11134207-820l4-mn56ldl9nmrl81,美术用品,画布和画架,巴西,0.5,6.94,,
https://cf.shopee.com.br/file/sg-11134201-7rdwg-lym6zks7t12v4f,美术用品,画布和画架,巴西,0.5,5.67,0.88,0.9
https://cf.shopee.com.br/file/cn-11134207-820l4-mn156njzxjig56,美术用品,画布和画架,巴西,0.5,5.2,-0.35,-0.38
https://cf.shopee.com.br/file/cn-11134207-820l4-mn5foydegjd135,美术用品,画布和画架,巴西,0.5,5.59,1.14,0.5
https://cf.shopee.com.br/file/cn-11134207-820l4-micq80ptaxa98e,美术用品,画布和画架,巴西,0.5,5.56,6.5,6.34
https://cf.shopee.com.br/file/d75ff972fd994d8e4e3c8c23f42ad0fe,美术用品,画布和画架,巴西,0.25,0.94,2.57,1.66
https://cf.shopee.com.br/file/cn-11134207-820l4-mijygvvnxceg45,美术用品,画布和画架,巴西,0.25,1.75,-0.58,-0.59
https://cf.shopee.com.br/file/7f01d7e6fe1c29b538c7a8e00e4962dc,美术用品,画布和画架,巴西,0.25,6.26,0.88,2.53
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,美术用品,画布和画架,巴西,0.25,2.78,1.5,1.41
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm3nk98f,美术用品,画布和画架,巴西,0.25,2.8,1.5,0.42
https://cf.shopee.com.br/file/cn-11134207-820l4-mhaa5r5mbbbj93,美术用品,画布和画架,巴西,0.25,2.65,-0.12,-0.27
https://cf.shopee.com.br/file/cn-11134207-820l4-mhaboljk8c9642,美术用品,画布和画架,巴西,0.25,2.65,,
https://cf.shopee.com.br/file/cn-11134207-820l4-me71r51v9lhiad,美术用品,画布和画架,巴西,0.25,1.2,6.5,4.91
https://cf.shopee.com.br/file/sg-11134201-824hz-me6lzi4yearr8b,美术用品,画布和画架,巴西,0.25,5.34,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mmhaoffl7ev8e6,美术用品,画布和画架,巴西,0.25,2.73,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,美术用品,画布和画架,巴西,0.25,2.78,0.25,0.24
https://cf.shopee.com.br/file/sg-11134201-7rd5i-lx3ni9zjdgi2fa,美术用品,画布和画架,巴西,0.11,3.81,-0.15,0.27
https://cf.shopee.com.br/file/sg-11134201-81zvs-mmsk4baqvojlbc,美术用品,彩色铅笔,巴西,19.5,487.77,5.57,6
https://cf.shopee.com.br/file/cn-11134207-820l4-mkp00iwt8nwk13,美术用品,彩色铅笔,巴西,16.75,397.64,3.14,3.04
https://cf.shopee.com.br/file/cn-11134207-7r98o-lkw1cob9m6qmdf,美术用品,彩色铅笔,巴西,1.25,8.06,2.75,1.79
https://cf.shopee.com.br/file/sg-11134201-7rce5-lsqr1eyqavipd0,美术用品,彩色铅笔,巴西,1.25,6.42,3.69,3.39
https://cf.shopee.com.br/file/sg-11134201-7rbml-lp51da90fyh2b1,美术用品,彩色铅笔,巴西,1.25,16.07,0.79,2.08
https://cf.shopee.com.br/file/sg-11134201-822zz-mhw21pas08owc6,美术用品,彩色铅笔,巴西,1.13,20.87,0.31,0.44
https://cf.shopee.com.br/file/sg-11134201-7rd5p-lw6mm4zkwohedd,美术用品,彩色铅笔,巴西,0.75,2.15,1.9,2.82
https://cf.shopee.com.br/file/sg-11134201-8226k-mhta3vn1e0owfa,美术用品,彩色铅笔,巴西,0.75,6.42,6.5,11.42
https://cf.shopee.com.br/file/cn-11134207-7ras8-m4cxydep1g5332,美术用品,彩色铅笔,巴西,0.5,1.72,1.95,0.47
https://cf.shopee.com.br/file/sg-11134201-82613-mlq2ndhrevwj79,美术用品,彩色铅笔,巴西,0.5,19.78,,
https://cf.shopee.com.br/file/sg-11134201-7rdvj-mcdncbfdzwk1a8,美术用品,彩色铅笔,巴西,0.5,4.66,2,1.76
https://cf.shopee.com.br/file/bd490fccf3aecb4d1718a3b858cb295e,美术用品,彩色铅笔,巴西,0.5,20.42,0.5,0.4
https://cf.shopee.com.br/file/cn-11134207-7r98o-lv1l10c2dsic45,美术用品,彩色铅笔,巴西,0.5,22.04,14,14.77
https://cf.shopee.com.br/file/cn-11134207-7ras8-m7gchrf7xuhh7f,美术用品,彩色铅笔,巴西,0.25,3.76,6.5,3.19
https://cf.shopee.com.br/file/sg-11134201-81zvc-midvdymfxukm39,美术用品,彩色铅笔,巴西,0.25,19.66,0.88,1.49
https://cf.shopee.com.br/file/sg-11134201-7rd5y-lukelptazkk9be,美术用品,彩色铅笔,巴西,0.25,1.29,2.75,2.94
https://cf.shopee.com.br/file/sg-11134201-8261i-mm1gh8vx3qx1b8,美术用品,彩色铅笔,巴西,0.25,0.83,6.5,6.7
https://cf.shopee.com.br/file/sg-11134201-7qvcv-ljm9iy4hph0677,美术用品,彩色铅笔,巴西,0.25,0.18,,
https://cf.shopee.com.br/file/b0717bb57a04c6e3ba54f091d86ea5f6,美术用品,彩色铅笔,巴西,0.25,0.82,0.25,0.07
https://cf.shopee.com.br/file/7aadfc12949e6fdf715003866070cc8b,美术用品,彩色铅笔,巴西,0.25,15.59,4,1.6
https://cf.shopee.com.br/file/sg-11134201-22120-3x2y3cyyhskve7,美术用品,彩色铅笔,巴西,0.25,5.86,-0.5,-0.21
https://cf.shopee.com.br/file/sg-11134201-81zud-mmyaw06e65mr3a,美术用品,彩色铅笔,巴西,0.25,5.7,6.5,6.88
https://cf.shopee.com.br/file/sg-11134301-8261j-ml65hw8tpts213,美术用品,彩色铅笔,巴西,0.25,6.99,1.5,2.03
https://cf.shopee.com.br/file/sg-11134201-8260h-mkj8pbb0ny1411,美术用品,彩色铅笔,巴西,0.25,8.74,6.5,8.42
https://cf.shopee.com.br/file/sg-11134301-8262z-mm8fe49xukg5eb,美术用品,彩色铅笔,巴西,0.25,6.63,1.5,1.75
https://cf.shopee.com.br/file/cn-11134207-820l4-mhjzhtgnecxw18,美术用品,彩色铅笔,巴西,0.25,1.38,0.88,2.33
https://cf.shopee.com.br/file/sg-11134201-8262e-mle7qyhaplovd7,美术用品,彩色铅笔,巴西,0.25,0.93,,
https://cf.shopee.com.br/file/sg-11134201-7rdwo-lxukb6xo9bxb0e,美术用品,彩色铅笔,巴西,0.25,0.81,-0.64,-0.84
